MLA Name,Age,Constituency,Gender,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Dharmendra Bhav Singh Lodhi,47,Jabera,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Dharmendra Bhav Singh Lodhi.jpg
Govind Singh Rajput,64,Surkhi,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Govind Singh Rajput.jpg
Inder Singh Parmar,61,Shujalpur,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Inder Singh Parmar.jpg
Karan Singh Verma,68,Ichhawar,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Karan Singh Verma.jpg
Krishna Gaur,57,Govindpura,Female,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Krishna Gaur.jpg
Kunwar Vijay Shah,63,Harsud,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Kunwar Vijay Shah.jpg
Ramniwas Rawat,Info Not Available,Vijaypur,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,2024-04-30,,,20,7.126903553,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Ramniwas Rawat.jpg
Pradhuman Singh Tomar,57,Gwalior,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Pradhuman Singh Tomar.jpg
Mohan Yadav,60,Ujjain South,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,,,,,"This MLA has been the Chief Minister from 13 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills.  Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Mohan Yadav.jpg
Umang Singhar,51,Gandhwani,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,137,,,,"This MLA is the Leader of Opposition. We do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Umang Singhar.jpg
